Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Somalia,SOM,..,..,60,59.5,58.3,55.5,53.3,51.1,50.7,51.3,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,South Africa,ZAF,..,..,6.5,6.3,5.7,5.7,6.2,6.9,7.7,8.1,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,South Sudan,SSD,..,..,..,..,..,..,..,19.6,19.3,19.6,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Spain,ESP,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Sri Lanka,LKA,..,..,5.2,4.3,4,4.2,4,3.8,3.8,4.1,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,St. Lucia,LCA,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,St. Vincent and the Grenadines,VCT,..,..,5.2,5.2,5.5,5.6,5.9,6.1,5.8,4.8,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Sudan,SDN,..,..,9.2,10,10.5,10.9,10.8,11.1,11,11.4,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Suriname,SUR,..,..,9.1,9.8,9.8,9.4,9.1,9.3,9.8,10.1,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Sweden,SWE,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Switzerland,CHE,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Syrian Arab Republic,SYR,..,..,10.8,13.4,17.6,21.8,26.4,29.6,32.2,34,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Tajikistan,TJK,..,..,16.3,14.2,12.4,10.6,9.9,9.4,9.5,8.7,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Tanzania,TZA,..,..,21.9,22.5,23.3,23.6,23.7,23.5,23.9,23.8,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Togo,TGO,..,..,20.2,20.7,20.5,19.9,18.3,16,14.1,12.8,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Tonga,TON,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Trinidad and Tobago,TTO,..,..,6.8,6.8,6.9,7,9.1,11.2,12.8,12.6,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Tunisia,TUN,..,..,3.2,3.1,3,2.7,2.8,3.2,3.4,3.2,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Turkiye,TUR,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
